"","Faculty_1","Faculty_2","Faculty_3","Faculty_4","Faculty_5","Faculty_6","Faculty_7","Faculty_8","Faculty_99","Dept_Geo_1","Dept_Geo_2","Dept_Geo_3","Dept_Geo_4","Dept_Geo_5","Dept_Humanities_1","Dept_Humanities_2","Dept_Humanities_3","Dept_Humanities_4","Dept_Humanities_5","Dept_REBO_1","Dept_REBO_2","Dept_REBO_3","Dept_REBO_4","Dept_Science_1","Dept_Science_2","Dept_Science_3","Dept_Science_4","Dept_Science_5","Dept_Science_6","Dept_Science_7","Dept_FSW_1","Dept_FSW_2","Dept_FSW_3","Dept_FSW_4","Dept_FSW_5","Dept_FSW_6","Dept_FSW_7","Dept_FSW_8","Dept_FSW_9","Dept_FSW_10","Dept_FSW_11","Dept_FSW_12","Dept_FSW_13","Dept_DGK_1","Dept_DGK_2","Dept_DGK_3","Dept_DGK_4","Dept_Nonacademic_1","Dept_Nonacademic_2","Dept_Nonacademic_3","Dept_Nonacademic_4","Dept_Nonacademic_5","Dept_Nonacademic_6","Dept_Nonacademic_7","Position_1","Position_2","Position_3","Position_4","Position_5","Position_6","Position_7","Datatype_1","Datatype_2","Datatype_3","Datatype_4","Datatype_5","Datatype_6","Datatype_7","Datatype_8","Datatype_9","Datatype_10","Datatype_11","Datatype_99","Personaldata_type_1","Personaldata_type_2","Personaldata_type_3","Personaldata_type_4","Personaldata_type_5","Personaldata_type_6","Personaldata_type_7","Personaldata_type_8","Personaldata_type_9","Personaldata_type_10","Personaldata_type_99","Orgmeasures_1","Orgmeasures_2","Orgmeasures_3","Orgmeasures_4","Orgmeasures_5","Orgmeasures_6","Orgmeasures_7","Orgmeasures_8","Orgmeasures_9","Orgmeasures_10","Orgmeasures_11","Orgmeasures_12","Orgmeasures_13","Orgmeasures_14","Orgmeasures_15","Orgmeasures_16","Orgmeasures_99","Storage_medium_1","Storage_medium_2","Storage_medium_3","Storage_medium_4","Storage_medium_5","Storage_medium_6","Storage_medium_7","Storage_medium_8","Storage_medium_99","Consentforms_1","Consentforms_2","Consentforms_3","Consentforms_4","Consentforms_5","Consentforms_6","Consentforms_7","Consentforms_99","Consent_content_1","Consent_content_2","Consent_content_3","Consent_content_4","Consent_content_5","Consent_content_6","Consent_content_7","Consent_content_8","Consent_content_9","Consent_content_10","Consent_content_11","Consent_content_12","Consent_content_99","Consent_content_13","DPIA_experience_1","DPIA_experience_2","DPIA_experience_3","DPIA_experience_99","DPIA_Help_1","DPIA_Help_2","DPIA_Help_3","DPIA_Help_4","DPIA_Help_5","DPIA_Help_99","Share_outside_UU_1","Share_outside_UU_2","Share_outside_UU_3","Share_outside_UU_4","Share_outside_UU_5","Share_outside_UU_6","Share_measures_1","Share_measures_2","Share_measures_3","Share_measures_4","Share_measures_5","Share_measures_6","Share_measures_7","Share_measures_8","Share_measures_9","Share_measures_10","Share_measures_99","Data_publication_1","Data_publication_2","Data_publication_3","Publication_format_1","Publication_format_2","Publication_format_3","Reason_NoPub_1","Reason_NoPub_2","Reason_NoPub_3","Reason_NoPub_4","Reason_NoPub_5","Reason_NoPub_6","Reason_NoPub_7","Reason_NoPub_8","Know_PO","Lookedforhelp","Foundhelp","Sourcesused_1","Sourcesused_2","Sourcesused_3","Sourcesused_4","Sourcesused_5","Sourcesused_6","Sourcesused_7","Sourcesused_8","Sourcesused_9","Sourcesused_10","Sourcesused_11","Sourcesused_12","Sourcesused_13","Sourcesused_14","Sourcesused_15","Sourcesused_16","Sourcesused_17","Sourcesused_18","Sourcesused_19","Sourcesused_99","Obstacle","Better_support_1","Better_support_2","Better_support_3","Better_support_4","Better_support_5","Better_support_6","Better_support_7","Better_support_8","Better_support_9","Email","Duration"
"22",NA,"Humanities","Law Economics and Governance","Medicine (UMC Utrecht)","Science","Social and Behavioural Sciences","Veterinary Medicine",NA,"None",NA,NA,NA,NA,NA,"History and Art History",NA,NA,"Philosophy and Religious Studies",NA,NA,"Economics","Governance","Other","Biology","Physics","Mathematics","Chemistry","Information and Computing Sciences","Pharmaceutical Sciences","Other","Education","Youth & Family","Development & Education of Youth in Diverse Societies","Clinical Child & Family Studies",NA,"Cultural Anthropology","Methodology & Statistics",NA,NA,"Developmental Psychology",NA,"Social Health & Organisational Psychology",NA,"Biomolecular Health Sciences","Clinical Sciences","Population Health Sciences","Other",NA,NA,NA,NA,NA,NA,NA,"Student","PhD/junior/post-doc",NA,"Full/Emeritus professor",NA,"Research supporter","Other",NA,NA,NA,"Images","Audio data","Bio-medical samples and data",NA,"Physical samples",NA,NA,NA,"None",NA,NA,NA,"Demographic information","Sensitive demographic information","Health/physical information",NA,NA,NA,NA,NA,NA,"Processing register",NA,NA,"Access control","Access logging",NA,NA,NA,NA,NA,"Agreements",NA,"Data deletion","Download/storage control",NA,NA,"UU network drive","UU cloud drive","Non-UU cloud","UU device",NA,NA,NA,NA,"Not applicable",NA,NA,NA,NA,NA,"Don't know what it is","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No; but familiar","No; never heard of it","Not applicable","Yes; RDM","Yes; Privacy Officer","Yes; Legal Affairs","Yes; other",NA,"Not applicable",NA,NA,NA,"No; only within UU","No sharing at all","Other",NA,"Privacy officer",NA,"Data transfer agreement","Data processing agreement","Approved tool","Access without transfer","Standard Contractual Clauses","Other",NA,NA,"Yes; whole dataset",NA,"No","Anonymised","Pseudonymised","Not anonymised/pseudonymised",NA,NA,NA,NA,"No legal basis",NA,NA,NA,"Yes","Not yet",NA,"UU website",NA,NA,"Tooladvisor",NA,NA,NA,NA,"Legal Affairs",NA,"Department data manager","RDM support",NA,"Colleagues",NA,NA,NA,"Never search information",NA,NA,"(Almost) never",NA,"Tooling","Information","Walk-ins",NA,"Support visibility",NA,NA,"Other","No",0
"23","Geosciences",NA,"Law Economics and Governance",NA,"Science","Social and Behavioural Sciences","Veterinary Medicine","Other","None","Earth Sciences",NA,NA,NA,"Other",NA,NA,NA,NA,NA,"Law",NA,"Governance",NA,"Biology",NA,NA,NA,NA,"Pharmaceutical Sciences",NA,"Education","Youth & Family","Development & Education of Youth in Diverse Societies","Clinical Child & Family Studies","Interdisciplinary Social Science","Cultural Anthropology",NA,"Sociology","Clinical Psychology",NA,"Experimental Psychology",NA,NA,"Biomolecular Health Sciences","Clinical Sciences","Population Health Sciences","Other","Centre for Academic Teaching","University College Roosevelt","University College Utrecht",NA,"University Corporate Office","Information Technology Services","Other",NA,"PhD/junior/post-doc","Assistant/Associate Professor",NA,NA,NA,NA,NA,"Tabular data","Video data","Images",NA,"Bio-medical samples and data","Physiological measurements",NA,"Code/theoretical models","Geographical data","Other","None","I don’t know what personal data is","Direct identifiers","Sensitive direct identifiers",NA,NA,NA,NA,NA,"Human behaviour",NA,NA,NA,"Processing register",NA,NA,NA,NA,"Pseudonymisation/anonymisation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UU network drive","UU cloud drive",NA,NA,"Non-UU device","UU external disk","Non-UU external disk","Other",NA,"Yes; myself","Yes; approved by privacy or ethics","Yes; from our department",NA,"No","Don't know what it is","Other","Not applicable",NA,NA,"Purposes",NA,"Sharing and reuse","Safeguards",NA,NA,NA,"Further processing consent",NA,NA,"Not applicable",NA,NA,"No; but familiar",NA,"Not applicable",NA,NA,NA,NA,NA,NA,"Yes; within EEA","Yes; outside EEA with adequacy","Yes; outside EEA without adequacy",NA,NA,"Other",NA,"Privacy officer","RDM/data manager",NA,NA,NA,NA,NA,NA,NA,NA,"Yes; whole dataset","Yes; only metadata","No","Anonymised","Pseudonymised",NA,NA,NA,"Don’t know how",NA,NA,NA,NA,NA,"Yes","Yes","Often","UU website","Faculty website","Intranet","Tooladvisor","DPA website","External institution website","Other website","Privacy officer","Legal Affairs",NA,NA,"RDM support","Information Security","Colleagues",NA,"External training","Cannot find information","Never search information",NA,"Not applicable","Not sure","Workshops","Tooling","Information","Walk-ins","Trainings",NA,"Support availability","UU-wide policy","Other","Yes",1
"24",NA,NA,NA,"Medicine (UMC Utrecht)",NA,NA,"Veterinary Medicine","Other","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Biomolecular Health Sciences",NA,"Population Health Sciences","Other",NA,"University College Roosevelt","University College Utrecht","University Library",NA,"Information Technology Services",NA,NA,NA,NA,NA,"Teacher/Lecturer",NA,"Other",NA,NA,"Video data",NA,NA,"Bio-medical samples and data",NA,NA,NA,"Geographical data","Other",NA,"I don’t know what personal data is","Direct identifiers","Sensitive direct identifiers",NA,"Sensitive demographic information",NA,"Contact information",NA,"Human behaviour","Other","None",NA,NA,NA,NA,NA,NA,"Pseudonymisation/anonymisation","Storage encryption","Transfer encryption","Retention policy",NA,"Agreements","Non-disclosure agreement",NA,"Download/storage control",NA,"None",NA,"UU cloud drive",NA,NA,NA,NA,NA,NA,"Not applicable","Yes; myself","Yes; approved by privacy or ethics",NA,"Yes; UU-wide template","No","Don't know what it is","Other","Not applicable","Which data used","Retention period","Purposes","Processors/controllers","Sharing and reuse","Safeguards","Rights","DPO contact","Regular consent","Further processing consent","Sharing data consent","Other","Not applicable","Not sure",NA,"No; but familiar","No; never heard of it","Not applicable",NA,NA,NA,NA,NA,NA,NA,"Yes; outside EEA with adequacy","Yes; outside EEA without adequacy","No; only within UU",NA,"Other",NA,"Privacy officer","RDM/data manager","Data transfer agreement",NA,"Approved tool","Access without transfer","Standard Contractual Clauses","Other","None","Not applicable","Yes; whole dataset","Yes; only metadata","No","Anonymised",NA,"Not anonymised/pseudonymised",NA,NA,"Don’t know how",NA,NA,NA,NA,NA,"No","Yes","(Almost) always","UU website",NA,"Intranet","Tooladvisor","DPA website","External institution website","Other website","Privacy officer","Legal Affairs","DPO","Department data manager","RDM support","Information Security","Colleagues","UU training","External training",NA,"Never search information",NA,NA,"(Almost) always",NA,"Tooling",NA,NA,"Trainings",NA,"Support availability","UU-wide policy","Other","Yes",1
"25","Geosciences",NA,NA,"Medicine (UMC Utrecht)","Science","Social and Behavioural Sciences","Veterinary Medicine",NA,"None","Earth Sciences","Physical Geography",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Biology","Physics","Mathematics","Chemistry","Information and Computing Sciences","Pharmaceutical Sciences","Other","Education","Youth & Family",NA,"Clinical Child & Family Studies",NA,"Cultural Anthropology",NA,NA,"Clinical Psychology","Developmental Psychology","Experimental Psychology","Social Health & Organisational Psychology","Other",NA,"Clinical Sciences","Population Health Sciences",NA,NA,NA,NA,NA,NA,NA,NA,"Student","PhD/junior/post-doc",NA,"Full/Emeritus professor",NA,NA,NA,NA,NA,NA,NA,"Audio data","Bio-medical samples and data",NA,NA,"Code/theoretical models",NA,NA,"None","I don’t know what personal data is","Direct identifiers","Sensitive direct identifiers","Demographic information","Sensitive demographic information","Health/physical information","Contact information","Derived personal data","Human behaviour","Other","None","DMP","Processing register","DPIA","Privacy review ",NA,"Access logging","Pseudonymisation/anonymisation","Storage encryption","Transfer encryption","Retention policy","Privacy training ","Agreements","Non-disclosure agreement","Data deletion","Download/storage control",NA,"None","UU network drive","UU cloud drive","Non-UU cloud","UU device","Non-UU device","UU external disk","Non-UU external disk","Other","Not applicable","Yes; myself","Yes; approved by privacy or ethics","Yes; from our department","Yes; UU-wide template","No",NA,NA,NA,"Which data used","Retention period","Purposes","Processors/controllers","Sharing and reuse","Safeguards","Rights","DPO contact","Regular consent","Further processing consent","Sharing data consent","Other","Not applicable","Not sure","Yes","No; but familiar","No; never heard of it","Not applicable",NA,NA,"Yes; Legal Affairs","Yes; other",NA,"Not applicable","Yes; within EEA","Yes; outside EEA with adequacy","Yes; outside EEA without adequacy",NA,"No sharing at all","Other","Pseudonymisation",NA,NA,"Data transfer agreement",NA,"Approved tool","Access without transfer","Standard Contractual Clauses","Other","None",NA,"Yes; whole dataset",NA,"No","Anonymised",NA,NA,"Don’t want/need to","Don't know if allowed to",NA,NA,NA,"No anonymisation possible",NA,"Other","No","Yes","Often","UU website",NA,"Intranet","Tooladvisor","DPA website",NA,"Other website","Privacy officer","Legal Affairs","DPO","Department data manager","RDM support","Information Security","Colleagues","UU training","External training","Cannot find information",NA,NA,"Not applicable","Not sure",NA,NA,NA,"Walk-ins",NA,NA,NA,"UU-wide policy",NA,"No",1
"26","Geosciences","Humanities",NA,NA,"Science",NA,NA,"Other",NA,NA,"Physical Geography",NA,NA,"Other",NA,"Languages Literature and Communication",NA,"Philosophy and Religious Studies",NA,NA,NA,NA,NA,NA,NA,"Mathematics",NA,NA,"Pharmaceutical Sciences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"University College Roosevelt",NA,"University Library",NA,NA,NA,"Student","PhD/junior/post-doc",NA,"Full/Emeritus professor",NA,"Research supporter","Other","Textual data","Tabular data","Video data","Images","Audio data","Bio-medical samples and data","Physiological measurements","Physical samples","Code/theoretical models","Geographical data","Other","None","I don’t know what personal data is",NA,NA,NA,"Sensitive demographic information",NA,NA,NA,"Human behaviour","Other","None",NA,NA,NA,"Privacy review ",NA,NA,"Pseudonymisation/anonymisation",NA,"Transfer encryption",NA,NA,NA,"Non-disclosure agreement",NA,NA,NA,NA,"UU network drive",NA,NA,NA,NA,"UU external disk",NA,NA,"Not applicable","Yes; myself","Yes; approved by privacy or ethics","Yes; from our department","Yes; UU-wide template","No","Don't know what it is","Other","Not applicable",NA,"Retention period","Purposes","Processors/controllers",NA,"Safeguards","Rights",NA,NA,"Further processing consent","Sharing data consent",NA,"Not applicable",NA,"Yes",NA,"No; never heard of it",NA,"Yes; RDM",NA,NA,"Yes; other",NA,NA,"Yes; within EEA","Yes; outside EEA with adequacy",NA,"No; only within UU",NA,NA,NA,"Privacy officer",NA,"Data transfer agreement","Data processing agreement",NA,"Access without transfer",NA,NA,"None","Not applicable",NA,"Yes; only metadata","No",NA,NA,NA,"Don’t want/need to","Don't know if allowed to","Don’t know how","Too large",NA,"No anonymisation possible","Still working on data","Other","No","No",NA,NA,"Faculty website","Intranet",NA,NA,"External institution website",NA,"Privacy officer","Legal Affairs",NA,NA,"RDM support",NA,"Colleagues","UU training","External training",NA,NA,NA,NA,"Sometimes","Workshops","Tooling",NA,"Walk-ins","Trainings","Support visibility","Support availability","UU-wide policy",NA,"No",1
"27","Geosciences","Humanities",NA,"Medicine (UMC Utrecht)","Science",NA,"Veterinary Medicine","Other",NA,"Earth Sciences","Physical Geography","Sustainable Development","Human Geography and Spatial Planning","Other",NA,NA,NA,"Philosophy and Religious Studies","Other",NA,NA,NA,NA,NA,NA,NA,NA,"Information and Computing Sciences","Pharmaceutical Sciences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Biomolecular Health Sciences",NA,NA,"Other","Centre for Academic Teaching","University College Roosevelt","University College Utrecht","University Library","University Corporate Office","Information Technology Services",NA,"Student","PhD/junior/post-doc","Assistant/Associate Professor","Full/Emeritus professor","Teacher/Lecturer","Research supporter","Other",NA,"Tabular data","Video data","Images","Audio data","Bio-medical samples and data","Physiological measurements","Physical samples","Code/theoretical models",NA,"Other","None",NA,"Direct identifiers","Sensitive direct identifiers","Demographic information","Sensitive demographic information","Health/physical information","Contact information","Derived personal data","Human behaviour","Other","None","DMP","Processing register","DPIA","Privacy review ","Access control","Access logging","Pseudonymisation/anonymisation","Storage encryption","Transfer encryption","Retention policy","Privacy training ","Agreements","Non-disclosure agreement","Data deletion","Download/storage control","Other","None",NA,NA,"Non-UU cloud","UU device",NA,NA,"Non-UU external disk","Other",NA,NA,"Yes; approved by privacy or ethics",NA,NA,NA,"Don't know what it is",NA,NA,NA,NA,NA,NA,NA,"Safeguards","Rights","DPO contact",NA,NA,NA,NA,NA,NA,NA,"No; but familiar","No; never heard of it","Not applicable",NA,NA,NA,NA,NA,NA,"Yes; within EEA","Yes; outside EEA with adequacy","Yes; outside EEA without adequacy","No; only within UU","No sharing at all","Other","Pseudonymisation","Privacy officer","RDM/data manager","Data transfer agreement",NA,"Approved tool","Access without transfer","Standard Contractual Clauses",NA,"None","Not applicable","Yes; whole dataset","Yes; only metadata","No","Anonymised",NA,"Not anonymised/pseudonymised","Don’t want/need to",NA,NA,NA,"No legal basis",NA,NA,"Other","Yes","Yes","Sometimes","UU website",NA,NA,NA,NA,NA,NA,"Privacy officer",NA,NA,NA,NA,NA,NA,"UU training",NA,NA,"Never search information",NA,"Not applicable","Not sure","Workshops","Tooling","Information","Walk-ins","Trainings","Support visibility","Support availability","UU-wide policy",NA,"Yes",0
"28","Geosciences","Humanities","Law Economics and Governance","Medicine (UMC Utrecht)",NA,"Social and Behavioural Sciences","Veterinary Medicine",NA,NA,"Earth Sciences","Physical Geography","Sustainable Development","Human Geography and Spatial Planning","Other","History and Art History",NA,"Media and Culture Studies","Philosophy and Religious Studies","Other","Law","Economics","Governance","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Development & Education of Youth in Diverse Societies","Clinical Child & Family Studies","Interdisciplinary Social Science","Cultural Anthropology",NA,NA,NA,"Developmental Psychology",NA,"Social Health & Organisational Psychology",NA,NA,"Clinical Sciences","Population Health Sciences","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Teacher/Lecturer",NA,"Other","Textual data","Tabular data","Video data","Images","Audio data","Bio-medical samples and data","Physiological measurements","Physical samples","Code/theoretical models","Geographical data",NA,NA,NA,NA,NA,NA,"Sensitive demographic information",NA,"Contact information",NA,"Human behaviour",NA,"None",NA,NA,NA,NA,"Access control","Access logging",NA,NA,NA,NA,"Privacy training ","Agreements",NA,"Data deletion","Download/storage control","Other",NA,"UU network drive",NA,"Non-UU cloud",NA,"Non-UU device",NA,"Non-UU external disk",NA,NA,"Yes; myself","Yes; approved by privacy or ethics","Yes; from our department","Yes; UU-wide template","No",NA,"Other","Not applicable",NA,"Retention period","Purposes",NA,"Sharing and reuse",NA,NA,NA,NA,"Further processing consent",NA,"Other",NA,"Not sure","Yes","No; but familiar",NA,NA,"Yes; RDM",NA,NA,NA,"No","Not applicable","Yes; within EEA","Yes; outside EEA with adequacy",NA,"No; only within UU",NA,"Other","Pseudonymisation","Privacy officer","RDM/data manager","Data transfer agreement","Data processing agreement","Approved tool","Access without transfer","Standard Contractual Clauses","Other","None","Not applicable","Yes; whole dataset","Yes; only metadata","No","Anonymised",NA,"Not anonymised/pseudonymised","Don’t want/need to","Don't know if allowed to",NA,NA,"No legal basis",NA,NA,"Other","No","Yes","(Almost) never",NA,"Faculty website",NA,NA,"DPA website",NA,NA,NA,NA,NA,NA,NA,"Information Security",NA,NA,"External training",NA,"Never search information","Other","Not applicable","Not sure","Workshops","Tooling",NA,"Walk-ins",NA,"Support visibility","Support availability","UU-wide policy","Other","No",0
"29",NA,"Humanities","Law Economics and Governance","Medicine (UMC Utrecht)","Science","Social and Behavioural Sciences","Veterinary Medicine",NA,"None",NA,NA,NA,NA,NA,"History and Art History","Languages Literature and Communication",NA,"Philosophy and Religious Studies","Other","Law","Economics","Governance","Other","Biology","Physics","Mathematics","Chemistry","Information and Computing Sciences","Pharmaceutical Sciences",NA,"Education","Youth & Family",NA,NA,"Interdisciplinary Social Science",NA,NA,NA,NA,"Developmental Psychology",NA,"Social Health & Organisational Psychology",NA,"Biomolecular Health Sciences",NA,NA,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Teacher/Lecturer",NA,"Other","Textual data",NA,"Video data","Images","Audio data","Bio-medical samples and data","Physiological measurements","Physical samples","Code/theoretical models","Geographical data","Other","None","I don’t know what personal data is",NA,"Sensitive direct identifiers",NA,NA,"Health/physical information",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Access control",NA,"Pseudonymisation/anonymisation","Storage encryption","Transfer encryption","Retention policy","Privacy training ",NA,"Non-disclosure agreement",NA,NA,NA,"None",NA,NA,"Non-UU cloud","UU device","Non-UU device","UU external disk","Non-UU external disk",NA,NA,"Yes; myself","Yes; approved by privacy or ethics",NA,NA,"No",NA,NA,"Not applicable","Which data used","Retention period","Purposes","Processors/controllers",NA,"Safeguards","Rights","DPO contact",NA,"Further processing consent","Sharing data consent","Other","Not applicable",NA,"Yes","No; but familiar",NA,"Not applicable",NA,"Yes; Privacy Officer","Yes; Legal Affairs",NA,"No",NA,NA,"Yes; outside EEA with adequacy",NA,"No; only within UU","No sharing at all","Other",NA,NA,"RDM/data manager",NA,NA,"Approved tool",NA,NA,NA,"None",NA,"Yes; whole dataset","Yes; only metadata","No",NA,"Pseudonymised",NA,NA,"Don't know if allowed to","Don’t know how","Too large","No legal basis","No anonymisation possible",NA,"Other","No","Not yet",NA,"UU website",NA,"Intranet","Tooladvisor","DPA website","External institution website","Other website","Privacy officer","Legal Affairs",NA,NA,"RDM support",NA,"Colleagues","UU training","External training","Cannot find information",NA,"Other","Not applicable","Not sure","Workshops","Tooling","Information","Walk-ins","Trainings","Support visibility","Support availability","UU-wide policy","Other","Yes",0
"30","Geosciences","Humanities","Law Economics and Governance","Medicine (UMC Utrecht)","Science","Social and Behavioural Sciences","Veterinary Medicine","Other","None",NA,"Physical Geography",NA,NA,"Other","History and Art History","Languages Literature and Communication","Media and Culture Studies",NA,"Other","Law","Economics","Governance",NA,"Biology","Physics","Mathematics","Chemistry","Information and Computing Sciences","Pharmaceutical Sciences","Other","Education",NA,"Development & Education of Youth in Diverse Societies","Clinical Child & Family Studies",NA,"Cultural Anthropology","Methodology & Statistics","Sociology","Clinical Psychology","Developmental Psychology","Experimental Psychology","Social Health & Organisational Psychology","Other","Biomolecular Health Sciences","Clinical Sciences",NA,"Other",NA,"University College Roosevelt","University College Utrecht",NA,"University Corporate Office","Information Technology Services",NA,"Student","PhD/junior/post-doc","Assistant/Associate Professor",NA,"Teacher/Lecturer","Research supporter","Other",NA,NA,NA,NA,"Audio data",NA,NA,NA,NA,"Geographical data",NA,NA,NA,"Direct identifiers","Sensitive direct identifiers","Demographic information","Sensitive demographic information","Health/physical information","Contact information","Derived personal data","Human behaviour","Other","None","DMP","Processing register",NA,"Privacy review ",NA,NA,"Pseudonymisation/anonymisation",NA,"Transfer encryption","Retention policy",NA,NA,NA,"Data deletion",NA,"Other","None","UU network drive","UU cloud drive","Non-UU cloud","UU device","Non-UU device","UU external disk","Non-UU external disk","Other","Not applicable","Yes; myself",NA,"Yes; from our department","Yes; UU-wide template","No","Don't know what it is",NA,"Not applicable","Which data used",NA,"Purposes","Processors/controllers","Sharing and reuse","Safeguards","Rights","DPO contact","Regular consent","Further processing consent","Sharing data consent","Other","Not applicable","Not sure",NA,"No; but familiar","No; never heard of it",NA,NA,NA,NA,NA,NA,NA,"Yes; within EEA",NA,NA,"No; only within UU",NA,"Other",NA,"Privacy officer",NA,"Data transfer agreement",NA,"Approved tool",NA,NA,NA,NA,"Not applicable","Yes; whole dataset",NA,"No","Anonymised",NA,"Not anonymised/pseudonymised","Don’t want/need to","Don't know if allowed to",NA,NA,"No legal basis","No anonymisation possible","Still working on data","Other","Yes","Yes","(Almost) never","UU website",NA,"Intranet",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Information Security",NA,"UU training",NA,NA,NA,NA,NA,"Not sure",NA,"Tooling","Information","Walk-ins",NA,"Support visibility","Support availability",NA,"Other","No",0
"31",NA,NA,"Law Economics and Governance","Medicine (UMC Utrecht)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Law",NA,NA,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Student","PhD/junior/post-doc",NA,NA,"Teacher/Lecturer","Research supporter",NA,"Textual data","Tabular data","Video data",NA,NA,"Bio-medical samples and data",NA,NA,"Code/theoretical models",NA,NA,"None","I don’t know what personal data is",NA,NA,NA,"Sensitive demographic information",NA,NA,NA,NA,"Other",NA,"DMP","Processing register",NA,NA,"Access control","Access logging","Pseudonymisation/anonymisation","Storage encryption",NA,NA,"Privacy training ",NA,"Non-disclosure agreement",NA,NA,NA,"None","UU network drive",NA,NA,NA,NA,NA,NA,NA,"Not applicable","Yes; myself","Yes; approved by privacy or ethics","Yes; from our department","Yes; UU-wide template","No","Don't know what it is","Other","Not applicable","Which data used",NA,"Purposes","Processors/controllers","Sharing and reuse",NA,"Rights","DPO contact",NA,NA,"Sharing data consent","Other",NA,"Not sure","Yes","No; but familiar","No; never heard of it","Not applicable","Yes; RDM",NA,NA,NA,"No","Not applicable",NA,"Yes; outside EEA with adequacy",NA,"No; only within UU","No sharing at all","Other","Pseudonymisation","Privacy officer","RDM/data manager","Data transfer agreement","Data processing agreement","Approved tool","Access without transfer","Standard Contractual Clauses","Other","None","Not applicable","Yes; whole dataset","Yes; only metadata","No",NA,NA,"Not anonymised/pseudonymised",NA,NA,"Don’t know how","Too large",NA,NA,NA,"Other","No","Not yet",NA,NA,"Faculty website",NA,NA,NA,NA,NA,NA,NA,"DPO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes","Workshops","Tooling","Information","Walk-ins","Trainings","Support visibility","Support availability","UU-wide policy","Other","No",0
"32",NA,"Humanities",NA,NA,"Science",NA,NA,NA,NA,NA,NA,NA,NA,NA,"History and Art History","Languages Literature and Communication","Media and Culture Studies","Philosophy and Religious Studies","Other",NA,NA,NA,NA,"Biology","Physics","Mathematics","Chemistry","Information and Computing Sciences","Pharmaceutical Sciences","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Student","PhD/junior/post-doc","Assistant/Associate Professor","Full/Emeritus professor","Teacher/Lecturer","Research supporter","Other",NA,NA,NA,"Images",NA,NA,NA,"Physical samples",NA,"Geographical data",NA,"None","I don’t know what personal data is","Direct identifiers","Sensitive direct identifiers",NA,"Sensitive demographic information","Health/physical information",NA,"Derived personal data",NA,"Other","None",NA,"Processing register","DPIA","Privacy review ",NA,"Access logging",NA,NA,NA,NA,"Privacy training ","Agreements","Non-disclosure agreement","Data deletion","Download/storage control","Other","None","UU network drive","UU cloud drive","Non-UU cloud",NA,"Non-UU device","UU external disk","Non-UU external disk","Other","Not applicable",NA,NA,"Yes; from our department","Yes; UU-wide template",NA,NA,NA,NA,NA,NA,"Purposes","Processors/controllers",NA,"Safeguards","Rights","DPO contact",NA,"Further processing consent","Sharing data consent","Other",NA,"Not sure","Yes","No; but familiar","No; never heard of it","Not applicable","Yes; RDM","Yes; Privacy Officer","Yes; Legal Affairs","Yes; other","No","Not applicable","Yes; within EEA","Yes; outside EEA with adequacy","Yes; outside EEA without adequacy","No; only within UU","No sharing at all","Other","Pseudonymisation","Privacy officer","RDM/data manager","Data transfer agreement","Data processing agreement","Approved tool","Access without transfer","Standard Contractual Clauses","Other","None","Not applicable","Yes; whole dataset","Yes; only metadata",NA,"Anonymised","Pseudonymised",NA,NA,"Don't know if allowed to","Don’t know how","Too large",NA,NA,"Still working on data","Other","Yes","No",NA,"UU website",NA,NA,"Tooladvisor",NA,NA,NA,NA,NA,NA,NA,"RDM support","Information Security",NA,NA,NA,NA,NA,NA,NA,"Sometimes","Workshops","Tooling",NA,"Walk-ins",NA,"Support visibility","Support availability","UU-wide policy","Other","Yes",1
